Date,Close,High,Low,Open,Volume
,MSFT,MSFT,MSFT,MSFT,MSFT
2010-01-04,23.211442947387695,23.323937535491698,22.94145479158106,22.963954281380378,38409100
2010-01-05,23.21894073486328,23.323936920712956,22.978951905114762,23.13644546866614,49749600
2010-01-06,23.076448440551758,23.308937442371484,22.888956987047983,23.158943707389955,58182400
2010-01-07,22.836462020874023,23.023953494180226,22.641470716982003,22.971454680079496,50559700
2010-01-08,22.993953704833984,23.158945683031774,22.67896797885901,22.708967300593002,51197400
2010-01-11,22.70146369934082,23.068946746863247,22.588969122416998,23.031447600924537,68754700
2010-01-12,22.551467895507812,22.798956514081294,22.43147350046891,22.61146509302726,65912100
2010-01-13,22.761463165283203,22.88895741325766,22.50647466933429,22.693966126329297,51863500
2010-01-14,23.21894073486328,23.323936920712956,22.693965527399957,22.731463245630817,63228100
2010-01-15,23.14394760131836,23.42893400739047,23.031451574539453,23.308939580576276,79913200
2010-01-19,23.323938369750977,23.428933131677365,23.008952653525473,23.061450034488665,46575700
2010-01-20,22.94145393371582,23.20394224977395,22.73146299478007,23.10644589473561,54849500
2010-01-21,22.506465911865234,23.038940755926063,22.498966084850128,22.956445519651385,73086700
2010-01-22,21.71900749206543,22.64896628337057,21.629012402872128,22.49897256078686,102004600
2010-01-25,21.98899269104004,22.243981127193653,21.82400076253604,21.92899549608895,63373000
2010-01-26,22.123987197875977,22.386475467668788,21.816501388544566,21.89899806973699,66639900
2010-01-27,22.251489639282227,22.363984244912157,21.764012061254853,22.011500765819306,63949500
2010-01-28,21.86900520324707,22.401481728133895,21.666514069961387,22.378982236508904,117513700
2010-01-29,21.134033203125,22.438973321577983,20.744050704153942,22.423973664591554,193888500
2010-02-01,21.306522369384766,21.35901973199064,20.939039400697826,21.29152271422713,85931100
2010-02-02,21.344022750854492,21.374022064928134,21.10403396004947,21.276527155080853,54413700
2010-02-03,21.471521377563477,21.59151722801746,21.08904005781801,21.19403481771313,61397900
2010-02-04,20.879037857055664,21.37401493048386,20.856538379010548,21.284018448748938,77850000
2010-02-05,21.014039993286133,21.209031253768877,20.6765548442879,20.999040335453746,80960100
2010-02-08,20.789045333862305,21.059033400031236,20.67655078310719,21.006536038375238,52820600
2010-02-09,21.006532669067383,21.254021213211452,20.81154147815909,20.976533364106604,59195800
2010-02-10,20.99153709411621,21.179028495203827,20.879042539552813,21.021536404904246,48591300
