Ticker,Indicator,Use,Params_Opt,Params_Emp,Sharpe_Opt,Sharpe_Emp,MDD_Opt,MDD_Emp,Sharpe_Improved,MDD_Improved
NVDA,sma,0,,[20],0.6332605376928685,-0.6462366328439962,-0.42903320578292947,-0.912320524645159,True,True
NVDA,ema,1,[1],[20],0.6332605376928685,-0.6462366328439962,-0.42903320578292947,-0.912320524645159,True,True
NVDA,rsi,0,,"[14, 30]",0.6332605376928685,-0.6462366328439962,-0.42903320578292947,-0.912320524645159,True,True
NVDA,roc,1,[15],[14],0.6332605376928685,-0.6462366328439962,-0.42903320578292947,-0.912320524645159,True,True
NVDA,macd,1,"[21, 74, 5]","[12, 26, 9]",0.6332605376928685,-0.6462366328439962,-0.42903320578292947,-0.912320524645159,True,True
NVDA,bb,1,"[74, 5]","[20, 2]",0.6332605376928685,-0.6462366328439962,-0.42903320578292947,-0.912320524645159,True,True
TSLA,sma,0,,[20],0.7114151405626438,0.2632710174944741,-0.505598351848703,-0.714037500520237,True,True
TSLA,ema,1,[1],[20],0.7114151405626438,0.2632710174944741,-0.505598351848703,-0.714037500520237,True,True
TSLA,rsi,1,"[1, 1]","[14, 30]",0.7114151405626438,0.2632710174944741,-0.505598351848703,-0.714037500520237,True,True
TSLA,roc,0,,[14],0.7114151405626438,0.2632710174944741,-0.505598351848703,-0.714037500520237,True,True
TSLA,macd,1,"[35, 20, 72]","[12, 26, 9]",0.7114151405626438,0.2632710174944741,-0.505598351848703,-0.714037500520237,True,True
TSLA,bb,1,"[20, 72]","[20, 2]",0.7114151405626438,0.2632710174944741,-0.505598351848703,-0.714037500520237,True,True
MSFT,sma,1,[1],[20],0.7272829811178224,0.2312741419987547,-0.391975318244001,-0.3978410878791552,True,True
MSFT,ema,1,[1],[20],0.7272829811178224,0.2312741419987547,-0.391975318244001,-0.3978410878791552,True,True
MSFT,rsi,1,"[1, 1]","[14, 30]",0.7272829811178224,0.2312741419987547,-0.391975318244001,-0.3978410878791552,True,True
MSFT,roc,0,,[14],0.7272829811178224,0.2312741419987547,-0.391975318244001,-0.3978410878791552,True,True
MSFT,macd,0,,"[12, 26, 9]",0.7272829811178224,0.2312741419987547,-0.391975318244001,-0.3978410878791552,True,True
MSFT,bb,1,"[17, 20]","[20, 2]",0.7272829811178224,0.2312741419987547,-0.391975318244001,-0.3978410878791552,True,True
AAPL,sma,0,,[20],-0.370045172392729,-0.6550388132065401,-0.4294811678744932,-0.6903430420203858,True,True
